,School_Name,School_District,School_Address,School_Phone_Number,Principal_FName,Principal_LName,Grades,School_Type,Super_Phone_Number,Super_FName,Super_LName
434,Deer Park Elementary,Fairfax County Public Schools,"15109 Carlbern Dr Centreville, VA 20120-1432",703-802-5000,Robert,Damato,PK-6,Elementary,571-423-1010,Michelle,Reid
435,Dogwood Elementary,Fairfax County Public Schools,"12300 Glade Dr Reston, VA 20191",703-262-3100,Kate,Beckner,PK-6,Elementary,571-423-1010,Michelle,Reid
436,Dranesville Elementary,Fairfax County Public Schools,"1515 Powells Tavern Pl Herndon, VA 20170-2832",703-326-5200,Jamie,Gadley,PK-6,Elementary,571-423-1010,Michelle,Reid
437,Eagle View Elementary,Fairfax County Public Schools,"4500 Dixie Hill Road Fairfax, VA 22030",703-322-3100,Kyungjoo,An,PK-6,Elementary,571-423-1010,Michelle,Reid
438,Fairfax Villa Elementary,Fairfax County Public Schools,"10900 Santa Clara Dr Fairfax, VA 22030",703-267-2800,Dave,Gerstner,PK-6,Elementary,571-423-1010,Michelle,Reid
439,Fairhill Elementary,Fairfax County Public Schools,"3001 Chichester Ln Fairfax, VA 22031",703-208-8100,Edward,Cooper,PK-6,Elementary,571-423-1010,Michelle,Reid
440,Fairview Elementary,Fairfax County Public Schools,"5815 Ox Rd Fairfax Station, VA 22039",703-503-3700,Samantha,Goldstein,PK-6,Elementary,571-423-1010,Michelle,Reid
441,Flint Hill Elementary,Fairfax County Public Schools,"2444 Flint Hill Rd Vienna, VA 22181",703-242-6100,Eben,Montaquila,PK-6,Elementary,571-423-1010,Michelle,Reid
442,Floris Elementary,Fairfax County Public Schools,"2708 Centreville Rd Herndon, VA 20171-3599",703-561-2900,Holly,Walker,PK-6,Elementary,571-423-1010,Michelle,Reid
443,Forest Edge Elementary,Fairfax County Public Schools,"1501 Beacontree Ln Reston, VA 20190",703-925-8000,Jillian,Zuber,PK-6,Elementary,571-423-1010,Michelle,Reid
444,Forestdale Elementary,Fairfax County Public Schools,"6530 Elder Ave Springfield, VA 22150",703-313-4300,Jennifer,Cunneen,PK-6,Elementary,571-423-1010,Michelle,Reid
445,Forestville Elementary,Fairfax County Public Schools,"1085 Utterback Store Rd Great Falls, VA 22066",703-404-6000,Donald,Washington,PK-6,Elementary,571-423-1010,Michelle,Reid
446,Fort Belvoir Elementary,Fairfax County Public Schools,"5980 Meeres Rd Fort Belvoir, VA 22060",703-781-2700,Margo,Pareja,PK-2,Elementary,571-423-1010,Michelle,Reid
447,Fort Belvoir Upper Elementary,Fairfax County Public Schools,"5970 Meeres Road Fort Belvoir, VA 22060",571-982-1300,Jamey,Chianetta,3-6,Elementary,571-423-1010,Michelle,Reid
448,Fort Hunt Elementary,Fairfax County Public Schools,"8832 Linton Ln Alexandria, VA 22308",703-619-2600,Timothy,Slayter,PK-6,Elementary,571-423-1010,Michelle,Reid
449,Fox Mill Elementary,Fairfax County Public Schools,"2611 Viking Dr Herndon, VA 20171-2498",703-262-2700,Brian,Moose,PK-6,Elementary,571-423-1010,Michelle,Reid
450,Franconia Elementary,Fairfax County Public Schools,"6301 Beulah St Alexandria, VA 22310",703-822-2200,Andrew,Smith,PK-6,Elementary,571-423-1010,Michelle,Reid
451,Freedom Hill Elementary,Fairfax County Public Schools,"1945 Lord Fairfax Rd Vienna, VA 22182",703-506-7800,Nicholas,Zapadka,PK-6,Elementary,571-423-1010,Michelle,Reid
452,Garfield Elementary,Fairfax County Public Schools,"7101 Old Keene Mill Rd Springfield, VA 22150",703-923-2900,April,Cage,PK-6,Elementary,571-423-1010,Michelle,Reid
453,Glen Forest Elementary,Fairfax County Public Schools,"5829 Glen Forest Dr Falls Church, VA 22041",703-578-8000,Diane,Herndon-Wilson,PK-5,Elementary,571-423-1010,Michelle,Reid
454,Graham Road Elementary,Fairfax County Public Schools,"2831 Graham Rd Falls Church, VA 22042",571-226-2700,Lauren,Badini,PK-6,Elementary,571-423-1010,Michelle,Reid
455,Great Falls Elementary,Fairfax County Public Schools,"701 Walker Rd Great Falls, VA 22066",703-757-2100,Sara,Harper,PK-6,Elementary,571-423-1010,Michelle,Reid
456,Greenbriar East Elementary,Fairfax County Public Schools,"13006 Point Pleasant Dr Fairfax, VA 22033",703-633-6400,David,Pietzman,PK-6,Elementary,571-423-1010,Michelle,Reid
457,Greenbriar West Elementary,Fairfax County Public Schools,"13300 Poplar Tree Rd Fairfax, VA 22033",703-633-6700,Andrew,Blount,PK-6,Elementary,571-423-1010,Michelle,Reid
458,Groveton Elementary,Fairfax County Public Schools,"6900 Harrison Ln Alexandria, VA 22306",703-718-8000,James,Swoger,PK-6,Elementary,571-423-1010,Michelle,Reid
459,Gunston Elementary,Fairfax County Public Schools,"10100 Gunston Rd Lorton, VA 22079",703-541-3600,Kristen,Rucinski,PK-6,Elementary,571-423-1010,Michelle,Reid
460,Halley Elementary,Fairfax County Public Schools,"8850 Cross Chase Circle Fairfax Station, VA 22039",703-551-5700,Kerry,Peerman,PK-6,Elementary,571-423-1010,Michelle,Reid
461,Haycock Elementary,Fairfax County Public Schools,"6616 Haycock Rd Falls Church, VA 22043",703-531-4000,Elizabeth,Beaty,PK-6,Elementary,571-423-1010,Michelle,Reid
462,Hayfield Elementary,Fairfax County Public Schools,"7633 Telegraph Rd Alexandria, VA 22315",703-924-4500,Jessica,Lewis,PK-6,Elementary,571-423-1010,Michelle,Reid
463,Herndon Elementary,Fairfax County Public Schools,"630 Dranesville Rd Herndon, VA 20170-3307",703-326-3100,Candace,Hunstad,PK-6,Elementary,571-423-1010,Michelle,Reid
464,Hollin Meadows Elementary,Fairfax County Public Schools,"2310 Nordok Place Alexandria, VA 22306",703-718-8300,Jon,Gates,PK-6,Elementary,571-423-1010,Michelle,Reid
465,Hunt Valley Elementary,Fairfax County Public Schools,"7107 Sydenstricker Rd Springfield, VA 22152",703-913-8800,Keieownna,Johnson-Hightower,PK-6,Elementary,571-423-1010,Michelle,Reid
466,Hunters Woods Elementary School for the Arts and Sciences,Fairfax County Public Schools,"2401 Colts Neck Rd Reston, VA 20191-2608",703-262-7400,Emily,Cope,PK-6,Elementary,571-423-1010,Michelle,Reid
467,Hutchison Elementary,Fairfax County Public Schools,"13209 Parcher Ave Herndon, VA 20170-4399",703-925-8300,Sarah,Aiello,PK-6,Elementary,571-423-1010,Michelle,Reid
468,Hybla Valley Elementary,Fairfax County Public Schools,"3415 Lockheed Blvd Alexandria, VA 22306",703-718-7000,Lauren,Sheehy,PK-6,Elementary,571-423-1010,Michelle,Reid
469,Island Creek Elementary,Fairfax County Public Schools,"7855 Morning View Ln Alexandria, VA 22315",571-642-6300,Jennifer,Fallert,PK-6,Elementary,571-423-1010,Michelle,Reid
470,Keene Mill Elementary,Fairfax County Public Schools,"6310 Bardu Ave Springfield, VA 22152",703-644-4700,Linda,Peace,PK-6,Elementary,571-423-1010,Michelle,Reid
471,Kent Gardens Elementary,Fairfax County Public Schools,"1717 Melbourne Dr McLean, VA 22101",703-394-5600,Holly,McGuigan,PK-6,Elementary,571-423-1010,Michelle,Reid
472,Kings Glen Elementary,Fairfax County Public Schools,"5401 Danbury Forest Dr Springfield, VA 22151",703-239-4000,Christine,Ritter,4-6,Elementary,571-423-1010,Michelle,Reid
473,Kings Park Elementary,Fairfax County Public Schools,"5400 Harrow Way Springfield, VA 22151",703-426-7000,Dorothy,Lin,PK-3,Elementary,571-423-1010,Michelle,Reid
474,Lake Anne Elementary,Fairfax County Public Schools,"11510 North Shore Dr Reston, VA 20190",703-326-3500,Jill,Stewart,PK-6,Elementary,571-423-1010,Michelle,Reid
475,Lane Elementary,Fairfax County Public Schools,"7137 Beulah St Alexandria, VA 22315",703-924-7700,Christine,Prahl,PK-6,Elementary,571-423-1010,Michelle,Reid
476,Laurel Hill Elementary,Fairfax County Public Schools,"8390 Laurel Crest Dr. Lorton, VA 22079",703-551-5300,Janice,Edwards-Dalton,PK-6,Elementary,571-423-1010,Michelle,Reid
477,Laurel Ridge Elementary,Fairfax County Public Schools,"10110 Commonwealth Blvd Fairfax, VA 22032",703-426-3700,Megan,Counts,PK-6,Elementary,571-423-1010,Michelle,Reid
478,Lees Corner Elementary,Fairfax County Public Schools,"13500 Hollinger Ave Fairfax, VA 22033",703-227-3500,VaRonica,Sloan,PK-6,Elementary,571-423-1010,Michelle,Reid
479,Lemon Road Elementary,Fairfax County Public Schools,"7230 Idylwood Rd Falls Church, VA 22043",703-714-6400,Ashley,Castillo,PK-6,Elementary,571-423-1010,Michelle,Reid
480,Little Run Elementary,Fairfax County Public Schools,"4511 Olley Ln Fairfax, VA 22032",703-503-3500,Christie,Yarn,PK-6,Elementary,571-423-1010,Michelle,Reid
481,London Towne Elementary,Fairfax County Public Schools,"6100 Stone Rd Centreville, VA 20120-1699",703-227-5400,Wiatta,Padmore,PK-6,Elementary,571-423-1010,Michelle,Reid
482,Lorton Station Elementary,Fairfax County Public Schools,"9298 Lewis Chapel Rd. Lorton, VA 22079",571-642-6000,Francis,Legagneur,PK-6,Elementary,571-423-1010,Michelle,Reid
483,Lynbrook Elementary,Fairfax County Public Schools,"5801 Backlick Rd Springfield, VA 22150",703-866-2940,Kathleen,Sain,PK-6,Elementary,571-423-1010,Michelle,Reid
484,Mantua Elementary,Fairfax County Public Schools,"9107 Horner Court Fairfax, VA 22031",703-645-6300,Linda,Shannon,PK-6,Elementary,571-423-1010,Michelle,Reid
485,Marshall Road Elementary,Fairfax County Public Schools,"730 Marshall Rd SW Vienna, VA 22180",703-937-1500,Jennifer,Heiges,PK-6,Elementary,571-423-1010,Michelle,Reid
486,Mason Crest Elementary,Fairfax County Public Schools,"3705 Crest Dr Annandale, VA 22003",571-226-2600,Sherry,Shin,PK-5,Elementary,571-423-1010,Michelle,Reid
487,McNair Elementary,Fairfax County Public Schools,"2499 Thomas Jefferson Dr. Herndon, VA 20171",703-793-4800,Merrell,Dade,PK-2,Elementary,571-423-1010,Michelle,Reid
488,McNair Upper Elementary,Fairfax County Public Schools,"2410 Fox Mill Road Herndon, VA 20171",703-793-4800,Melissa,Goddin,3-6,Elementary,571-423-1010,Michelle,Reid
489,Mosaic Elementary,Fairfax County Public Schools,"9819 Five Oaks Rd Fairfax, VA 22031",703-937-1600,Mahri,Aste,PK-6,Elementary,571-423-1010,Michelle,Reid
490,Mount Eagle Elementary,Fairfax County Public Schools,"6116 N Kings Hwy Alexandria, VA 22303",703-721-2100,Jean,Consolla,PK-6,Elementary,571-423-1010,Michelle,Reid
491,Mount Vernon Woods Elementary,Fairfax County Public Schools,"4015 Fielding St Alexandria, VA 22309",703-619-2800,Gina,ONeal,PK-6,Elementary,571-423-1010,Michelle,Reid
492,Navy Elementary,Fairfax County Public Schools,"3500 W Ox Rd Fairfax, VA 22033",703-262-7100,Jonathan,Coch,PK-6,Elementary,571-423-1010,Michelle,Reid
493,Newington Forest Elementary,Fairfax County Public Schools,"8001 Newington Forest Ave Springfield, VA 22153",703-923-2600,Angela,Thompson,PK-6,Elementary,571-423-1010,Michelle,Reid
494,North Springfield Elementary,Fairfax County Public Schools,"7602 Heming Court Springfield, VA 22151",703-658-5500,Chad,McRae,PK-5,Elementary,571-423-1010,Michelle,Reid
495,Oak Hill Elementary,Fairfax County Public Schools,"3210 Kinross Circle Herndon, VA 20171-3300",703-467-3500,Holly,DeVore,PK-6,Elementary,571-423-1010,Michelle,Reid
496,Oak View Elementary,Fairfax County Public Schools,"5004 Sideburn Rd Fairfax, VA 22032",703-764-7100,Sarah,Brooker,PK-6,Elementary,571-423-1010,Michelle,Reid
497,Oakton Elementary,Fairfax County Public Schools,"3000 Chain Bridge Rd Oakton, VA 22124",703-937-6100,Christine,Kelley,PK-6,Elementary,571-423-1010,Michelle,Reid
498,Olde Creek Elementary,Fairfax County Public Schools,"9524 Old Creek Dr Fairfax, VA 22032",703-426-3100,Melissa,Miller,PK-6,Elementary,571-423-1010,Michelle,Reid
499,Orange Hunt Elementary,Fairfax County Public Schools,"6820 Sydenstricker Rd Springfield, VA 22152",703-913-6800,Karen,Tuttle,PK-6,Elementary,571-423-1010,Michelle,Reid
500,Parklawn Elementary,Fairfax County Public Schools,"4116 Braddock Rd Alexandria, VA 22312",703-914-6900,Rebecca,Forgy,PK-5,Elementary,571-423-1010,Michelle,Reid
501,Pine Spring Elementary,Fairfax County Public Schools,"7607 Willow Ln Falls Church, VA 22042",571-226-4400,Nicole Nikki,Yacubovich,PK-6,Elementary,571-423-1010,Michelle,Reid
502,Poplar Tree Elementary,Fairfax County Public Schools,"13440 Melville Ln Chantilly, VA 20151-2490",703-633-7400,Susan,Andujar,PK-6,Elementary,571-423-1010,Michelle,Reid
503,Powell Elementary,Fairfax County Public Schools,"13340 Leland Rd. Centreville, VA 20120",571-522-6000,Jamie,Luerssen,PK-6,Elementary,571-423-1010,Michelle,Reid
504,Providence Elementary,Fairfax County Public Schools,"3616 Jermantown Rd Fairfax, VA 22030",703-460-4400,Dan,Phillips,PK-6,Elementary,571-423-1010,Michelle,Reid
505,Ravensworth Elementary,Fairfax County Public Schools,"5411 Nutting Dr Springfield, VA 22151",703-426-3600,Erika,Aspuria,PK-6,Elementary,571-423-1010,Michelle,Reid
506,Riverside Elementary,Fairfax County Public Schools,"8410 Old Mount Vernon Rd Alexandria, VA 22309",703-799-6000,LaRonda,Peterson,PK-6,Elementary,571-423-1010,Michelle,Reid
507,Rolling Valley Elementary,Fairfax County Public Schools,"6703 Barnack Dr Springfield, VA 22152",703-923-2700,Maureen,Boland,PK-6,Elementary,571-423-1010,Michelle,Reid
508,Rose Hill Elementary,Fairfax County Public Schools,"6301 Rose Hill Dr Alexandria, VA 22310",703-313-4200,Dawn,Hendrick,PK-6,Elementary,571-423-1010,Michelle,Reid
509,Sangster Elementary,Fairfax County Public Schools,"7420 Reservation Dr Springfield, VA 22153",703-644-8200,Allison,Jankovich,PK-6,Elementary,571-423-1010,Michelle,Reid
510,Saratoga Elementary,Fairfax County Public Schools,"8111 Northumberland Rd Springfield, VA 22153",703-440-2600,Erica,Loesch,PK-6,Elementary,571-423-1010,Michelle,Reid
511,Sherman Elementary,Fairfax County Public Schools,"6633 Brawner St McLean, VA 22101",703-506-7900,Kathleen,Quigley,PK-6,Elementary,571-423-1010,Michelle,Reid
512,Shrevewood Elementary,Fairfax County Public Schools,"7525 Shreve Rd Falls Church, VA 22043",703-645-6600,Joshua,DeSmyter,PK-6,Elementary,571-423-1010,Michelle,Reid
513,Silverbrook Elementary,Fairfax County Public Schools,"9350 Crosspointe Dr Fairfax Station, VA 22039",703-690-5100,Pamela,Simpkins,PK-6,Elementary,571-423-1010,Michelle,Reid
514,Sleepy Hollow Elementary,Fairfax County Public Schools,"3333 Sleepy Hollow Rd Falls Church, VA 22044",703-237-7000,Mattie,Fallen,PK-5,Elementary,571-423-1010,Michelle,Reid
515,Spring Hill Elementary,Fairfax County Public Schools,"8201 Lewinsville Rd McLean, VA 22102",703-506-3400,Maria,Eck,PK-6,Elementary,571-423-1010,Michelle,Reid
516,Springfield Estates Elementary,Fairfax County Public Schools,"6200 Charles Goff Dr Springfield, VA 22150",703-921-2300,Eleanor,Contreras,PK-6,Elementary,571-423-1010,Michelle,Reid
517,Stenwood Elementary,Fairfax County Public Schools,"2620 Gallows Rd Vienna, VA 22180",703-208-7600,Erica,Riley,PK-6,Elementary,571-423-1010,Michelle,Reid
518,Stratford Landing Elementary,Fairfax County Public Schools,"8484 Riverside Rd Alexandria, VA 22308",703-619-3600,Kevin,Morris,PK-6,Elementary,571-423-1010,Michelle,Reid
519,Sunrise Valley Elementary,Fairfax County Public Schools,"10824 Cross School Rd Reston, VA 20191-5199",703-715-3800,Kevin,West,PK-6,Elementary,571-423-1010,Michelle,Reid
520,Terra Centre Elementary,Fairfax County Public Schools,"6000 Burke Centre Pkwy Burke, VA 22015",703-249-1400,Rebecca,Gidoni,PK-6,Elementary,571-423-1010,Michelle,Reid
521,Terraset Elementary,Fairfax County Public Schools,"11411 Ridge Heights Rd Reston, VA 20191-1399",703-390-5600,Lindsay,Trout,PK-6,Elementary,571-423-1010,Michelle,Reid
522,Timber Lane Elementary,Fairfax County Public Schools,"2737 West St Falls Church, VA 22046",703-206-5300,Benjamin,Chiet,PK-6,Elementary,571-423-1010,Michelle,Reid
523,Union Mill Elementary,Fairfax County Public Schools,"13611 Springstone Dr Clifton, VA 20124-2375",703-322-8500,Scott,Hawk,PK-6,Elementary,571-423-1010,Michelle,Reid
524,Vienna Elementary,Fairfax County Public Schools,"128 Center St S Vienna, VA 22180",703-937-6000,John,Carmichael,PK-6,Elementary,571-423-1010,Michelle,Reid
525,Virginia Run Elementary,Fairfax County Public Schools,"15450 Martins Hundred Dr Centreville, VA 20120",703-988-8900,Elizabeth,Bumbrey,PK-6,Elementary,571-423-1010,Michelle,Reid
526,Wakefield Forest Elementary,Fairfax County Public Schools,"4011 Iva Ln Fairfax, VA 22032",703-503-2300,Sharyn,Prindle,PK-6,Elementary,571-423-1010,Michelle,Reid
527,Waples Mill Elementary,Fairfax County Public Schools,"11509 Waples Mill Rd Oakton, VA 22124",703-390-7700,Meishe,Thirus,PK-6,Elementary,571-423-1010,Michelle,Reid
528,Washington Mill Elementary,Fairfax County Public Schools,"9100 Cherrytree Dr Alexandria, VA 22309",703-619-2500,Bradley,Bennink,PK-6,Elementary,571-423-1010,Michelle,Reid
529,Waynewood Elementary,Fairfax County Public Schools,"1205 Waynewood Blvd Alexandria, VA 22308",703-704-7100,Katie,Cachine,PK-6,Elementary,571-423-1010,Michelle,Reid
530,West Springfield Elementary,Fairfax County Public Schools,"6802 Deland Dr Springfield, VA 22152",703-912-4400,Kelly,Sheers,PK-6,Elementary,571-423-1010,Michelle,Reid
531,Westbriar Elementary,Fairfax County Public Schools,"1741 Pine Valley Dr Vienna, VA 22182",703-937-1700,Mary,Tam,PK-6,Elementary,571-423-1010,Michelle,Reid
532,Westgate Elementary,Fairfax County Public Schools,"7500 Magarity Rd Falls Church, VA 22043",703-610-5700,Hallie,Demetriades,PK-6,Elementary,571-423-1010,Michelle,Reid
533,Westlawn Elementary,Fairfax County Public Schools,"3200 Westley Rd Falls Church, VA 22042",703-241-5100,Christoph,Hill,PK-6,Elementary,571-423-1010,Michelle,Reid
534,Weyanoke Elementary,Fairfax County Public Schools,"6520 Braddock Rd Alexandria, VA 22312",703-813-5400,Felicia,Usher,PK-5,Elementary,571-423-1010,Michelle,Reid
535,White Oaks Elementary,Fairfax County Public Schools,"6130 Shiplett Blvd Burke, VA 22015",703-923-1400,Ryan,Richardson,PK-6,Elementary,571-423-1010,Michelle,Reid
536,Willow Springs Elementary,Fairfax County Public Schools,"5400 Willow Springs School Rd Fairfax, VA 22030",703-679-6000,Dylan,Taylor,PK-6,Elementary,571-423-1010,Michelle,Reid
537,Wolftrap Elementary,Fairfax County Public Schools,"1903 Beulah Rd Vienna, VA 22182",703-319-7300,Maggie,Grove,PK-6,Elementary,571-423-1010,Michelle,Reid
538,Woodburn Elementary,Fairfax County Public Schools,"3401 Hemlock Dr Falls Church, VA 22042",703-641-8200,Katharine,Richman,PK-6,Elementary,571-423-1010,Michelle,Reid
539,Woodlawn Elementary,Fairfax County Public Schools,"8505 Highland Ln Alexandria, VA 22309",703-619-4800,Laura,Elliott,PK-6,Elementary,571-423-1010,Michelle,Reid
540,Woodley Hills Elementary,Fairfax County Public Schools,"8718 Old Mt Vernon Rd Alexandria, VA 22309",703-799-2000,Sharon,Aldredge,PK-6,Elementary,571-423-1010,Michelle,Reid
541,Carson Middle,Fairfax County Public Schools,"13618 McLearen Rd Herndon, VA 20171",703-925-3600,Gordon,Stokes,7-8,Middle,571-423-1010,Michelle,Reid
542,Cooper Middle,Fairfax County Public Schools,"977 Balls Hill Rd McLean, VA 22101",703-442-5800,Lisa,Barrow,7-8,Middle,571-423-1010,Michelle,Reid
543,Franklin Middle,Fairfax County Public Schools,"3300 Lees Corner Rd Chantilly, VA 20151-3100",703-904-5100,Dustin,Wright,7-8,Middle,571-423-1010,Michelle,Reid
544,Frost Middle,Fairfax County Public Schools,"4101 Pickett Rd Fairfax, VA 22032",703-426-5700,Anthony,Harris,7-8,Middle,571-423-1010,Michelle,Reid
545,Glasgow Middle,Fairfax County Public Schools,"4101 Fairfax Pkwy Alexandria, VA 22312",703-813-8700,Victor,Powell,6-8,Middle,571-423-1010,Michelle,Reid
546,Herndon Middle,Fairfax County Public Schools,"901 Locust St Herndon, VA 20170-4999",703-904-4800,Monika,Vereb,7-8,Middle,571-423-1010,Michelle,Reid
547,Holmes Middle,Fairfax County Public Schools,"6525 Montrose St Alexandria, VA 22312",703-658-5900,Margaret,Barnes,6-8,Middle,571-423-1010,Michelle,Reid
